student_type_id,programme,number_students,year,semester,day,time,course_1,component_1,type_1,course_2,component_2,type_2,severity
type_0_sub0,single,29,3,2,Mon,14:00,MATH_GW06,Lec,lecture,MATH_GW08,Lec,lecture,lecture_lecture
type_0_sub1,single,29,3,2,Mon,14:00,MATH_GW06,Lec,lecture,MATH_GW08,Lec,lecture,lecture_lecture
type_0_sub2,single,29,3,2,Mon,14:00,MATH_GW06,Lec,lecture,MATH_GW08,Lec,lecture,lecture_lecture
type_0_sub3,single,29,3,2,Mon,14:00,MATH_GW06,Lec,lecture,MATH_GW08,Lec,lecture,lecture_lecture
type_0_sub4,single,28,3,2,Mon,14:00,MATH_GW06,Lec,lecture,MATH_GW08,Lec,lecture,lecture_lecture
type_0_sub4,single,28,3,2,Tue,16:00,MATH_GW06,Ws,workshop,MATH_GW08,Lec,lecture,lecture_workshop
type_0_sub4,single,28,4,1,Tue,15:00,MATH_GW02,Ws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_0_sub5,single,28,3,2,Mon,14:00,MATH_GW06,Lec,lecture,MATH_GW08,Lec,lecture,lecture_lecture
type_0_sub6,single,28,3,2,Mon,14:00,MATH_GW06,Lec,lecture,MATH_GW08,Lec,lecture,lecture_lecture
type_0_sub6,single,28,3,2,Thu,15:00,MATH_GW08,fws,workshop,MATH_GW06,Lec,lecture,lecture_workshop
type_10,joint_phys,3,4,2,Mon,12:00,MATH_GW07,Lec,lecture,PHYS_D_S2Y4,Lec,lecture,lecture_lecture
type_10,joint_phys,3,4,2,Tue,10:00,PHYS_D_S2Y4,Ws,workshop,MATH_GW07,Lec,lecture,lecture_workshop
type_11,joint_phys,3,3,2,Mon,11:00,MATH_GW05,Lec,lecture,PHYS_C_S2Y3,Lec,lecture,lecture_lecture
type_12,joint_phys,3,4,2,Wed,16:00,PHYS_C_S2Y4,fws,workshop,MATH_GW06,Lec,lecture,lecture_workshop
type_13,joint_phys,3,3,2,Mon,11:00,MATH_GW05,Lec,lecture,PHYS_C_S2Y3,Lec,lecture,lecture_lecture
type_15,joint_phys,3,3,1,Mon,10:00,MATH_GW02,Lec,lecture,MATH_GW04,Lec,lecture,lecture_lecture
type_15,joint_phys,3,3,1,Thu,11:00,MATH_GW02,Lec,lecture,PHYS_B_S1Y3,Lec,lecture,lecture_lecture
type_15,joint_phys,3,3,1,Wed,15:00,PHYS_B_S1Y3,Ws,workshop,MATH_GW04,Lec,lecture,lecture_workshop
type_16,joint_phys,3,3,1,Thu,16:00,PHYS_A_S1Y3,Ws,workshop,MATH_OP02,Lec,lecture,lecture_workshop
type_16,joint_phys,3,3,1,Tue,13:00,MATH_OP02,Ws,workshop,PHYS_A_S1Y3,Lec,lecture,lecture_workshop
type_16,joint_phys,3,3,1,Wed,14:00,MATH_GW02,Ws,workshop,MATH_OP02,Lec,lecture,lecture_workshop
type_16,joint_phys,3,4,2,Mon,15:00,MATH_OP03,Lec,lecture,PHYS_C_S2Y4,Lec,lecture,lecture_lecture
type_16,joint_phys,3,4,2,Tue,13:00,PHYS_C_S2Y4,Ws,workshop,MATH_OP03,Lec,lecture,lecture_workshop
type_17,joint_phys,3,3,1,Tue,13:00,MATH_OP02,Ws,workshop,MATH_OP01,Lec,lecture,lecture_workshop
type_18,joint_phys,3,3,2,Mon,14:00,MATH_GW06,Lec,lecture,MATH_GW07,Lec,lecture,lecture_lecture
type_18,joint_phys,3,4,1,Mon,15:00,PHYS_B_S1Y4,Ws,workshop,MATH_OP01,Lec,lecture,lecture_workshop
type_18,joint_phys,3,4,2,Mon,15:00,MATH_OP03,Lec,lecture,PHYS_C_S2Y4,Lec,lecture,lecture_lecture
type_18,joint_phys,3,4,2,Tue,13:00,PHYS_C_S2Y4,Ws,workshop,MATH_OP03,Lec,lecture,lecture_workshop
type_19,joint_phys,3,3,1,Mon,15:00,MATH_GW03,Lec,lecture,MATH_OP02,Lec,lecture,lecture_lecture
type_2,joint_phys,2,3,2,Mon,11:00,MATH_GW05,Lec,lecture,PHYS_C_S2Y3,Lec,lecture,lecture_lecture
type_20,joint_phys,3,3,1,Mon,10:00,MATH_GW02,Lec,lecture,MATH_GW04,Lec,lecture,lecture_lecture
type_21,joint_econ,5,4,2,Wed,11:00,ECON_C_S2Y4,Ws,workshop,MATH_GW05,Lec,lecture,lecture_workshop
