student_type_id,programme,number_students,year,semester,day,time,course_1,component_1,type_1,course_2,component_2,type_2,severity
type_10,joint_phys,3,4,2,Thu,14:00,PHYS_D_S2Y4,fws,workshop,MATH_GW08,Lec,lecture,lecture_workshop
type_11,joint_phys,3,4,2,Thu,14:00,PHYS_D_S2Y4,fws,workshop,MATH_GW08,Lec,lecture,lecture_workshop
type_13,joint_phys,5,4,2,Thu,14:00,PHYS_D_S2Y4,fws,workshop,MATH_GW08,Lec,lecture,lecture_workshop
type_14,joint_phys,5,4,2,Thu,14:00,PHYS_D_S2Y4,fws,workshop,MATH_GW08,Lec,lecture,lecture_workshop
type_15,joint_phys,5,4,1,Thu,15:00,PHYS_A_S1Y4,fws,workshop,MATH_GW04,Lec,lecture,lecture_workshop
type_15,joint_phys,5,4,2,Tue,13:00,PHYS_C_S2Y4,Ws,workshop,MATH_GW05,Lec,lecture,lecture_workshop
type_17,joint_econ,3,4,2,Tue,10:00,MATH_GW08,Ws,workshop,ECON_D_S2Y4,Lec,lecture,lecture_workshop
type_2,joint_phys,3,4,2,Tue,13:00,PHYS_C_S2Y4,Ws,workshop,MATH_GW05,Lec,lecture,lecture_workshop
type_21,joint_econ,3,4,1,Mon,10:00,ECON_B_S1Y4,Ws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_21,joint_econ,3,4,1,Tue,14:00,ECON_B_S1Y4,fws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_21,joint_econ,3,4,2,Tue,10:00,MATH_GW08,Ws,workshop,ECON_D_S2Y4,Lec,lecture,lecture_workshop
type_23,joint_econ,3,4,1,Mon,10:00,ECON_B_S1Y4,Ws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_23,joint_econ,3,4,1,Tue,14:00,ECON_B_S1Y4,fws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_26,joint_econ,3,3,1,Mon,12:00,ECON_B_S1Y3,Ws,workshop,MATH_GW03,Lec,lecture,lecture_workshop
type_26,joint_econ,3,4,2,Tue,10:00,MATH_GW08,Ws,workshop,ECON_D_S2Y4,Lec,lecture,lecture_workshop
type_27,joint_econ,5,4,1,Mon,10:00,ECON_B_S1Y4,Ws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_27,joint_econ,5,4,1,Tue,14:00,ECON_B_S1Y4,fws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_27,joint_econ,5,4,2,Wed,11:00,ECON_C_S2Y4,Ws,workshop,MATH_GW06,Lec,lecture,lecture_workshop
type_28,joint_econ,5,3,1,Mon,12:00,ECON_B_S1Y3,Ws,workshop,MATH_GW03,Lec,lecture,lecture_workshop
type_29,joint_econ,5,4,2,Tue,10:00,MATH_GW08,Ws,workshop,ECON_D_S2Y4,Lec,lecture,lecture_workshop
type_31,joint_bus,5,4,2,Tue,17:00,MATH_OP03,Ws,workshop,BUS_C_S2Y4,fws,workshop,workshop_workshop
type_34,joint_bus,3,3,2,Wed,15:00,BUS_D_S2Y3,Ws,workshop,MATH_GW08,Lec,lecture,lecture_workshop
type_35,joint_bus,3,3,2,Wed,15:00,BUS_D_S2Y3,Ws,workshop,MATH_GW08,Lec,lecture,lecture_workshop
type_37,joint_bus,3,3,1,Thu,10:00,BUS_B_S1Y3,Ws,workshop,MATH_GW03,Lec,lecture,lecture_workshop
type_37,joint_bus,3,4,2,Tue,17:00,MATH_OP03,Ws,workshop,BUS_C_S2Y4,fws,workshop,workshop_workshop
type_38,joint_bus,3,3,2,Wed,15:00,BUS_D_S2Y3,Ws,workshop,MATH_GW08,Lec,lecture,lecture_workshop
type_39,joint_bus,3,3,1,Thu,10:00,BUS_B_S1Y3,Ws,workshop,MATH_GW03,Lec,lecture,lecture_workshop
type_39,joint_bus,3,4,1,Thu,14:00,BUS_B_S1Y4,fws,workshop,MATH_GW04,Lec,lecture,lecture_workshop
